ACC-X-Ring1,ACC-Y-Ring1,ACC-Z-Ring1,GYRO-X-Ring1,GYRO-Y-Ring1,GYRO-Z-Ring1,ACC-X-Ring2,ACC-Y-Ring2,ACC-Z-Ring2,GYRO-X-Ring2,GYRO-Y-Ring2,GYRO-Z-Ring2,TEST
5.15,-15.2,-13.72,-7.42,-7.32,-2.44,-8.73,-1.46,17.79,129.2,3.37,24.46,2
4.66,-14.24,-13.76,0.73,-7.57,-2.29,-8.84,-0.28,17.94,88.28,-4.35,17.29,2
4.54,-14.99,-14.25,6.25,0.29,5.18,-8.04,7.04,17.56,88.23,-9.91,20.61,2
4.01,-15.89,-11.85,48.78,7.81,28.32,-8.04,11.52,15.21,97.75,-2.44,21.83,2
1.02,-14.77,-10.5,87.11,30.42,44.19,-6.67,16.85,12.87,88.67,0.44,28.91,2
1.12,-18.28,-6.01,109.91,49.02,50.0,-5.38,21.62,8.5,91.89,-2.05,31.88,2
0.64,-21.25,0.31,84.37,26.71,28.91,-5.0,19.15,6.35,29.69,-6.3,14.11,2
-0.58,-19.26,6.33,83.54,13.28,26.61,-4.62,21.47,6.9,9.81,7.47,-9.28,2
-4.27,-18.12,7.86,95.7,14.89,32.67,-4.42,19.45,5.52,20.9,3.47,2.78,2
-6.03,-14.02,12.86,90.77,-4.88,36.38,-5.23,18.49,3.24,-8.25,-1.81,-2.15,2
-7.1,-6.46,16.94,92.72,3.08,31.93,-5.38,18.1,5.52,0.59,0.0,-3.96,2
-6.18,-7.32,19.73,36.47,-2.69,6.88,-5.21,18.97,4.86,2.64,-1.03,1.37,2
2.51,-21.06,-8.38,-133.4,-39.7,-15.82,-5.6,-17.44,16.32,-56.4,5.76,6.25,3
3.75,-23.3,-12.46,-79.39,-24.9,-18.6,-6.98,-14.96,14.24,-26.27,8.54,12.01,3
1.38,-17.48,-13.33,-23.97,-17.72,4.1,-6.84,-17.18,14.74,-7.57,0.29,1.76,3
0.85,-16.75,-13.35,-23.14,-13.38,-7.91,-7.0,-16.7,14.76,16.85,3.27,3.08,3
1.66,-17.41,-13.61,1.12,-1.17,-0.44,-7.02,-14.68,15.86,78.81,12.26,2.0,3
1.96,-18.76,-12.89,57.71,35.55,17.19,-8.17,-8.93,17.05,93.85,2.54,7.86,3
1.23,-19.36,-10.04,87.01,44.48,17.53,-8.72,-3.07,17.58,94.34,-4.2,21.44,3
-0.13,-19.65,-5.76,103.27,27.44,2.05,-7.81,2.18,19.56,111.33,-4.0,19.97,3
2.61,-23.22,1.5,100.49,28.56,9.81,-7.85,4.28,16.43,99.02,4.39,14.99,3
0.72,-21.64,5.72,82.13,20.07,7.32,-7.05,9.01,14.48,116.16,5.52,15.48,3
-0.52,-19.06,9.23,100.1,26.71,18.75,-7.24,17.61,10.9,116.31,6.79,16.7,3
-3.77,-13.34,14.16,125.63,27.98,33.4,-6.58,22.46,10.85,46.92,9.18,12.74,3
-4.32,-10.24,20.61,70.95,1.46,14.65,-6.85,17.72,5.31,32.67,9.77,3.52,3
-5.87,-8.13,18.32,43.46,15.82,17.63,-6.3,20.44,4.92,9.28,4.69,-0.54,3
-4.63,-6.0,22.32,21.09,0.39,3.76,-6.13,18.85,4.19,13.18,5.37,4.49,3
-5.56,-6.37,20.23,18.55,1.22,6.93,-5.87,19.43,3.62,21.39,-0.88,10.3,3
-5.83,-4.84,19.07,26.42,-3.17,7.62,-6.06,19.86,2.98,-7.76,-0.78,-2.44,3
-5.27,-5.19,21.74,-6.88,-8.4,1.27,-5.59,18.17,4.06,-4.25,-5.27,-6.74,3
-5.02,-5.47,20.37,-8.15,-0.2,-7.32,-6.38,19.49,3.45,0.54,0.15,-5.18,3
-5.57,-5.21,20.64,-1.32,1.03,1.71,-6.15,18.5,4.3,1.27,0.93,2.2,3
1.23,-19.81,13.4,-136.72,-52.78,-8.3,-7.22,14.15,16.1,-169.82,-24.71,-10.06,4
1.41,-18.92,3.85,-152.15,-72.66,-7.96,-4.99,-3.33,17.23,-174.22,-27.83,-2.1,4
1.27,-15.48,-4.91,-140.19,-64.01,-9.86,-3.11,-14.97,16.53,-178.37,-6.64,-24.51,4
3.45,-18.96,-10.25,-39.65,-23.68,2.64,-4.76,-11.89,17.33,-52.78,8.54,-9.08,4
2.58,-17.59,-10.55,-28.27,5.22,2.88,-5.74,-10.82,15.57,-37.84,4.69,-14.79,4
4.62,-16.21,-13.07,-38.97,16.11,4.83,-5.05,-16.98,13.69,-21.09,16.11,-11.87,4
4.59,-13.68,-12.98,-28.91,13.48,6.2,-4.78,-18.56,12.69,-27.93,17.14,-12.4,4
3.57,-13.67,-14.34,-11.72,-15.14,-0.63,-5.1,-17.79,12.19,-12.21,4.69,-2.83,4
2.62,-13.15,-14.73,-5.27,0.68,1.37,-5.12,-17.15,12.9,6.15,-3.76,-0.49,4
4.3,-15.46,-14.4,16.99,13.43,5.47,-4.62,-20.68,13.5,59.23,9.91,9.81,4
2.24,-13.77,-13.95,58.94,25.68,19.29,-6.12,-16.58,14.55,61.57,10.5,17.04,4
4.27,-18.36,-9.22,89.65,45.26,21.58,-6.52,-14.94,16.29,119.34,23.88,15.14,4
0.96,-17.91,-6.81,110.79,48.24,36.33,-8.04,-4.85,18.46,74.41,6.01,28.42,4
2.07,-20.53,1.9,100.44,42.19,21.09,-7.62,-2.73,16.05,136.82,15.87,29.0,4
-0.93,-15.9,6.39,157.52,51.51,38.23,-7.06,11.9,15.05,138.57,4.83,36.13,4
-0.59,-17.93,13.11,131.05,34.13,34.52,-5.74,17.83,10.61,150.24,10.5,26.22,4
-6.24,-5.66,17.33,122.17,20.36,46.63,-5.5,22.63,8.9,38.04,8.5,11.96,4
-5.81,-6.65,20.66,57.76,23.19,37.7,-6.78,18.2,1.22,30.96,17.92,4.25,4
-6.48,-0.69,22.47,14.4,-0.54,2.88,-5.76,18.37,2.45,-4.39,-2.25,-7.37,4
-5.85,-6.65,20.11,10.94,-3.56,3.52,-6.29,19.19,2.76,9.42,5.47,5.96,4
5.44,-4.04,19.98,1.22,3.13,-0.34,-0.29,18.86,6.43,0.24,0.39,3.61,5
5.78,-3.28,20.26,0.2,-3.17,0.05,0.0,17.9,7.27,1.27,-2.83,0.54,5
4.73,-3.96,19.98,7.18,-3.96,0.34,0.61,19.27,6.51,3.03,2.69,7.76,5
6.67,-2.26,20.49,2.88,0.05,2.83,0.64,18.64,6.79,-5.42,0.29,-15.33,5
5.23,-3.65,19.92,-9.81,7.37,-1.86,-1.37,18.0,6.71,0.29,0.44,-4.83,5
3.8,-3.69,19.72,-0.49,-3.52,0.98,0.37,18.75,6.98,-2.05,4.59,-1.66,5
5.98,-3.66,20.25,-1.9,2.93,5.47,-1.79,18.39,6.99,-1.61,-0.24,-10.21,5
3.31,-4.12,19.69,-2.88,4.64,0.15,-0.14,17.9,7.4,-2.98,-1.95,11.62,5
6.28,-4.71,19.53,4.05,-4.0,2.25,-0.99,19.85,6.15,2.05,4.69,-6.74,5
4.61,-3.1,21.05,-8.5,-2.1,3.52,-2.22,17.9,7.22,1.42,-7.91,10.35,5
4.7,-4.16,20.42,4.93,-4.39,-11.23,2.13,19.44,7.82,-3.71,3.17,-5.18,5
6.36,-2.7,19.54,-7.08,8.4,4.49,-1.95,18.68,6.76,4.83,2.49,-16.75,5
2.05,-3.85,20.4,1.32,4.44,3.76,0.11,18.53,7.83,-0.05,3.37,8.94,5
5.48,-4.29,20.06,4.1,-6.35,9.23,-1.58,19.03,6.69,3.17,6.1,-2.44,5
4.0,-2.96,20.56,2.25,1.66,5.86,-1.52,18.5,7.12,-5.03,-3.32,-8.69,5
3.8,-3.86,20.08,-7.03,6.1,-2.29,-1.32,18.3,7.79,-5.57,-5.37,-1.12,5
3.87,-4.86,19.69,-5.96,-2.54,-1.32,-1.39,17.78,7.73,-0.73,-4.35,5.86,5
4.15,-5.3,20.14,3.76,-13.04,0.0,-1.01,18.37,7.92,1.03,-6.05,16.5,5
6.0,-5.49,21.11,7.03,-19.92,-1.27,0.36,18.58,7.3,1.42,0.49,5.08,5
6.67,-4.05,20.19,0.49,-4.98,-0.73,-0.6,19.18,7.04,1.27,3.66,-8.79,5
1.3,-5.61,20.53,5.66,-17.29,-0.29,-3.39,17.79,7.31,-4.79,-19.04,-3.47,6
2.02,-5.27,20.51,5.42,-17.53,4.64,-2.02,18.33,8.07,5.08,7.37,-8.15,6
3.11,-5.06,20.74,2.78,-9.18,0.15,-3.13,19.1,8.26,-0.24,14.7,-15.23,6
3.03,-5.04,20.37,1.51,-3.22,-1.22,-5.39,19.28,6.39,-29.25,24.51,-19.24,6
3.15,-5.11,20.38,2.05,-3.12,0.1,-5.45,14.3,9.59,-15.48,-2.49,3.96,6
3.46,-4.95,20.43,1.03,-1.12,0.15,-5.32,17.56,8.4,12.99,-1.56,14.99,6
3.16,-4.89,20.37,1.17,-1.17,0.93,-3.9,18.19,8.17,8.25,-5.18,1.46,6
3.67,-5.2,20.32,0.68,-2.25,1.37,-3.64,18.13,8.76,2.05,-3.42,0.59,6
3.66,-4.16,20.62,-1.27,2.1,0.83,-3.88,17.64,8.49,2.34,-0.1,3.76,6
2.15,-6.27,19.92,-7.67,26.27,-4.59,-3.54,18.85,7.79,8.35,2.49,5.37,6
2.97,-5.05,21.94,2.0,2.88,3.86,-3.78,18.0,7.94,1.46,-3.27,4.98,6
2.83,-4.44,26.8,0.93,71.92,-1.56,-2.7,18.75,7.76,-2.54,-4.25,5.22,6
-7.07,10.04,22.97,-135.74,-18.26,-1.61,-2.94,18.03,7.94,-1.51,-2.88,3.76,6
1.65,-20.39,-1.91,-318.31,-86.38,-14.7,-2.51,18.34,7.67,-0.15,-3.17,0.44,6
3.06,-17.68,-5.5,-170.56,-54.74,-25.15,-2.97,18.76,7.81,2.73,-2.1,0.34,6
5.47,-19.1,-11.13,-82.81,-5.42,-20.95,-2.58,18.17,7.87,0.68,-1.17,1.86,6
4.54,-14.8,-12.63,-48.68,14.5,-19.09,-2.54,18.21,7.76,0.44,-0.44,-0.73,6
4.44,-14.5,-16.66,-22.85,2.39,0.1,-2.58,18.2,7.66,0.05,-1.27,2.44,6
4.03,-13.96,-14.74,-5.18,-10.25,-4.98,-2.47,18.36,7.7,0.88,0.34,0.44,6
4.07,-12.5,-14.11,1.42,-7.81,2.39,-2.43,20.49,7.84,-0.29,-1.32,-3.96,6
-0.13,-13.44,8.14,-189.16,-68.9,4.15,-4.93,-25.21,14.63,-128.81,3.56,-28.86,7
1.45,-20.01,-4.1,-205.13,-86.77,1.61,-5.94,-12.68,12.32,-35.84,11.38,-5.66,7
2.46,-22.71,-13.65,-88.87,-31.59,-0.34,-2.92,-16.94,14.22,-26.71,9.52,-7.23,7
-0.35,-14.44,-11.4,-32.52,-10.06,2.49,-4.64,-19.66,12.3,-16.94,6.3,-14.6,7
2.87,-16.31,-14.11,-28.37,0.15,6.05,-5.17,-18.61,11.21,-0.88,4.05,10.94,7
0.92,-15.63,-16.47,-11.52,15.48,6.93,-5.9,-15.23,11.12,8.74,-7.52,-5.47,7
0.2,-14.2,-15.88,5.42,-9.18,6.88,-3.95,-20.12,14.05,9.72,-8.06,-7.08,7
0.41,-13.89,-13.07,5.47,9.81,-7.67,-4.42,-17.27,11.88,15.72,6.45,3.17,7
1.99,-16.3,-17.56,8.79,10.99,-1.07,-4.21,-18.87,12.79,18.46,-1.86,-1.17,7
1.36,-13.71,-13.93,21.68,-2.34,13.09,-4.34,-16.5,14.96,63.38,4.79,-1.9,7
2.57,-15.85,-13.44,22.61,4.64,0.83,-4.14,-14.38,17.7,71.53,1.12,-1.51,7
4.08,-18.66,-11.35,60.01,38.23,5.91,-6.28,-2.65,18.47,111.62,-6.4,14.79,7
5.13,-22.85,-9.74,76.32,46.19,-0.98,-4.44,-4.26,19.57,109.62,-9.62,28.37,7
1.89,-16.79,-3.74,88.67,45.56,12.06,-4.01,5.06,18.29,139.79,-5.27,31.98,7
5.75,-22.26,0.85,98.83,36.91,11.13,-3.08,15.52,13.64,177.0,-8.98,10.74,7
2.16,-20.51,5.87,142.43,37.01,23.63,-2.57,16.82,9.65,82.32,-3.08,0.44,7
-1.87,-12.47,13.7,150.78,58.64,18.7,-3.09,16.69,8.79,56.64,-9.23,-8.35,7
-1.78,-9.65,19.16,77.54,25.59,12.4,-4.21,14.85,3.28,-3.61,21.09,-39.4,7
-2.87,-9.74,19.61,46.39,-1.61,16.89,-3.05,25.61,3.67,11.72,-6.64,21.24,7
-7.13,-3.01,16.28,16.26,12.79,22.71,-4.18,18.0,3.86,-6.1,-5.13,12.45,7
3.95,-21.37,-11.4,-96.97,-26.22,-14.84,-2.83,-14.87,16.71,-51.47,1.07,-16.8,8
2.92,-18.95,-15.74,-46.44,-4.54,-3.56,-3.84,-15.61,14.13,-20.75,7.57,1.37,8
2.13,-14.32,-12.94,-14.6,-6.59,5.71,-3.41,-15.92,13.11,-16.31,1.71,-2.69,8
2.79,-14.58,-13.86,-15.19,-15.92,-3.42,-2.83,-18.28,12.87,-12.99,0.98,-3.61,8
1.56,-14.32,-15.0,0.83,1.81,5.18,-3.58,-15.59,12.6,-0.05,-2.25,-6.15,8
1.73,-13.59,-15.19,-1.9,5.66,-2.98,-2.39,-17.64,12.95,3.52,-3.32,-4.35,8
3.05,-15.64,-14.61,9.28,10.4,-0.15,-2.93,-19.43,14.05,35.79,1.46,5.42,8
5.28,-17.78,-12.25,79.69,58.74,10.74,-3.38,-8.49,17.76,85.84,5.27,13.09,8
6.2,-20.61,-11.63,59.96,47.31,3.32,-5.16,-8.51,16.34,163.82,15.19,28.76,8
4.63,-18.67,-3.63,137.3,65.33,18.41,-4.87,2.96,20.88,96.0,-7.32,10.06,8
6.39,-23.53,2.62,62.6,27.1,3.52,-5.5,6.04,19.49,114.36,-0.24,12.55,8
2.56,-18.2,7.77,68.7,26.22,10.45,-5.19,7.44,18.24,80.96,1.22,10.16,8
2.71,-18.25,11.22,69.09,24.12,12.84,-4.89,12.14,15.34,110.11,5.42,8.11,8
-0.24,-14.2,14.8,97.66,34.03,18.99,-4.96,18.74,12.59,93.99,3.03,16.11,8
-2.74,-9.28,19.06,64.26,9.81,15.33,-5.53,17.44,8.95,33.59,-0.73,5.03,8
-1.96,-8.17,20.28,40.87,-6.01,7.81,-4.38,17.28,8.6,30.18,0.78,4.49,8
-2.42,-5.78,20.03,26.76,2.0,5.71,-4.29,19.39,7.31,1.22,-4.44,4.1,8
-1.56,-7.15,21.34,7.08,-10.21,0.44,-4.18,17.4,7.28,2.49,-0.34,4.69,8
-1.08,-5.82,21.14,8.45,-3.66,0.24,-4.04,18.94,6.98,-1.9,0.24,-0.88,8
-1.44,-6.69,20.77,-5.08,-1.66,0.59,-4.01,18.52,6.67,2.39,-1.61,2.44,8
3.38,-19.63,3.4,-231.54,-80.47,8.45,-6.43,0.67,15.25,-216.6,9.77,-14.7,9
1.92,-15.38,-4.68,-217.14,-73.54,5.76,-5.75,-17.04,13.99,-64.94,13.92,-16.94,9
3.98,-16.5,-10.7,-66.7,3.66,3.42,-4.67,-14.22,14.64,-28.13,20.21,-14.5,9
3.68,-15.8,-13.19,-30.62,2.64,15.14,-6.65,-16.61,11.02,-18.12,16.06,-7.13,9
2.09,-13.14,-13.34,-17.97,-3.61,17.72,-5.15,-16.89,11.77,-16.46,13.23,-8.79,9
2.25,-14.25,-14.95,-21.29,-1.76,12.16,-6.97,-17.59,9.75,-1.27,-7.86,7.57,9
0.61,-12.54,-14.52,5.81,-9.42,-4.93,-5.45,-20.1,12.86,4.1,-9.47,-0.49,9
2.69,-15.57,-16.65,6.3,-1.76,-6.01,-6.12,-18.46,12.2,23.97,-0.73,2.64,9
2.87,-16.44,-12.97,25.73,11.08,1.46,-6.06,-15.33,14.89,83.3,3.61,22.56,9
3.19,-17.8,-12.53,83.5,37.4,8.74,-7.28,-6.73,18.08,140.04,8.25,39.36,9
2.75,-20.86,-8.82,141.16,55.13,34.13,-8.15,3.01,16.28,171.92,-6.35,60.55,9
0.08,-18.5,1.87,169.53,49.76,31.01,-6.02,10.41,15.24,156.59,-15.77,52.05,9
-2.12,-16.96,7.75,162.21,20.26,28.71,-4.83,16.95,10.68,151.71,-3.66,29.69,9
-4.22,-11.15,14.48,150.88,22.9,24.8,-4.61,20.52,6.21,52.2,-7.47,11.38,9
-4.1,-4.41,19.27,49.27,-12.6,6.64,-3.47,15.79,5.96,30.71,-6.88,-27.0,9
-1.84,-6.05,17.67,19.87,-9.28,11.43,-4.15,18.21,0.4,1.61,8.11,-62.94,9
-8.1,2.0,16.31,3.61,41.55,18.41,-4.5,20.01,4.28,-10.99,-11.77,-6.54,9
-0.87,-5.27,22.76,-15.53,-4.44,-9.67,-5.16,19.48,3.38,6.01,3.56,11.43,9
-1.94,-3.34,21.64,11.08,-7.81,3.76,-4.71,18.99,3.26,-1.56,-3.17,-0.59,9
-1.73,-3.78,21.07,-0.98,0.29,-1.37,-4.96,19.25,2.85,-0.73,-2.05,-1.37,9
-1.63,-6.81,20.53,-1.07,-0.88,0.83,-6.64,17.93,6.81,-1.03,-0.63,-1.76,10
-1.58,-6.83,20.54,-0.93,1.03,0.63,-6.67,17.78,6.87,-0.44,-0.1,1.95,10
-1.42,-6.8,20.62,1.32,-2.69,1.17,-6.66,17.74,6.95,-0.68,0.24,0.88,10
-1.2,-6.98,20.72,0.15,-0.05,1.22,-6.72,17.95,6.84,-0.34,-0.1,-0.83,10
-1.51,-6.67,20.39,-0.2,-0.78,0.68,-6.72,17.34,6.63,-0.59,-0.39,1.95,10
-0.9,-7.28,21.03,0.68,-2.98,-0.05,-6.67,17.78,6.83,-0.15,-0.15,0.29,10
-1.45,-6.74,20.47,1.46,-8.5,3.13,-6.65,17.87,6.87,-0.59,-0.73,-2.29,10
-1.51,-7.05,20.37,0.1,-0.73,0.54,-6.71,17.72,7.01,-0.1,-1.03,-0.34,10
-1.08,-6.91,20.61,1.17,-1.07,0.68,-6.76,17.86,6.8,-0.05,-0.05,0.98,10
-1.23,-6.69,20.41,0.68,-1.66,1.22,-6.62,17.68,7.06,-0.83,0.88,1.22,10
-0.88,-6.68,20.89,1.51,-2.54,2.54,-6.73,17.59,6.97,-1.03,-0.1,-1.46,10
-1.05,-7.11,20.48,-0.39,-0.98,0.68,-6.9,17.92,6.73,-0.63,-0.73,-1.76,10
-1.53,-6.68,20.24,-1.42,1.27,-0.29,-6.86,17.52,6.94,0.39,0.15,0.49,10
-1.45,-6.97,20.3,1.71,-1.27,1.51,-6.83,17.68,6.82,0.44,-0.05,0.39,10
-1.19,-7.0,20.47,0.68,-2.78,1.37,-6.77,17.92,6.86,0.1,-0.44,-0.68,10
-1.28,-6.69,20.56,0.24,-0.24,0.29,-6.7,17.79,7.16,0.29,-0.63,-0.49,10
-1.3,-6.89,20.19,1.12,0.05,1.22,-6.74,17.78,6.96,-0.34,0.0,0.98,10
-1.07,-6.83,20.56,0.1,-0.83,1.03,-6.69,17.96,6.9,0.39,0.15,1.22,10
-0.96,-6.65,20.62,1.17,-1.03,1.17,-6.7,17.7,7.03,-0.2,-0.29,-0.98,10
-1.11,-6.89,20.34,0.34,0.24,0.63,-6.65,17.85,6.99,-0.98,-0.54,-0.49,10
3.04,-17.77,12.33,-137.94,-72.56,36.08,-7.13,6.82,15.75,-179.35,-4.54,-10.11,11
2.96,-16.72,8.58,-140.67,-80.76,30.03,-5.7,-9.13,13.79,-235.84,-18.85,-24.22,11
0.17,-17.35,-2.31,-207.08,-98.39,57.52,-4.81,-13.87,16.75,-50.44,-7.47,-6.93,11
3.37,-23.78,-10.87,-118.75,-50.78,17.04,-5.27,-16.52,14.1,-25.83,8.98,-12.6,11
0.71,-17.77,-13.55,-41.8,1.32,6.69,-5.53,-15.46,13.5,-11.91,-1.9,-7.96,11
-0.56,-14.91,-12.41,-13.43,-7.23,3.03,-4.49,-16.55,13.59,-9.67,-2.39,-7.47,11
0.55,-16.16,-14.16,-9.08,-4.3,0.78,-4.38,-17.73,13.07,-7.57,0.88,-5.52,11
-0.65,-14.41,-14.33,-5.37,-6.59,0.83,-4.23,-17.43,13.5,-1.61,-3.32,-1.81,11
-0.91,-14.55,-14.4,-1.42,-2.78,-0.63,-4.4,-16.26,14.46,11.62,1.42,3.08,11
-0.16,-15.72,-14.45,8.94,9.38,1.56,-4.83,-14.89,15.09,52.49,12.65,16.06,11
2.59,-18.32,-13.55,44.97,34.52,7.08,-5.4,-16.07,16.15,117.04,23.54,22.12,11
2.87,-19.67,-11.49,54.05,31.45,2.39,-8.55,-6.5,15.38,182.62,26.07,43.31,11
3.97,-22.4,-7.44,134.52,78.81,-1.17,-9.42,0.87,15.26,149.41,12.45,40.33,11
1.98,-20.36,1.07,139.45,44.43,1.61,-8.81,10.0,12.0,153.52,3.91,31.84,11
0.76,-16.32,9.57,148.63,32.23,-3.61,-8.19,15.48,9.83,86.43,-0.24,16.21,11
-0.33,-10.94,15.66,120.61,33.74,-9.81,-6.95,15.96,7.84,26.42,-11.33,-0.78,11
-0.43,-6.83,19.88,41.75,-2.05,-7.42,-2.81,28.0,13.85,32.62,1.56,2.83,11
-0.06,-10.01,22.76,18.41,-8.69,-2.78,-6.25,19.58,8.0,2.29,-2.1,14.06,11
-4.53,-5.65,15.8,5.03,3.91,7.37,-7.15,16.58,7.88,-6.93,-1.66,-4.2,11
-0.37,-7.73,20.58,-8.5,0.49,2.69,-6.91,16.91,8.02,-0.63,-0.15,1.56,11
0.26,-10.14,11.27,-145.85,-75.05,15.28,-6.96,3.71,13.92,-195.85,-14.89,-5.18,12
5.7,-21.52,3.81,-136.33,-87.11,21.0,-6.61,3.25,18.15,-146.24,-17.92,3.81,12
5.22,-22.16,-4.37,-136.72,-93.36,23.54,-6.31,-6.28,16.47,-124.22,-24.32,-4.25,12
4.06,-20.44,-8.61,-82.57,-37.7,6.05,-3.97,-12.32,17.74,-62.26,-9.62,-13.57,12
1.85,-18.91,-14.75,-26.22,-16.46,5.96,-4.82,-13.01,15.6,-17.48,1.9,2.88,12
1.36,-16.0,-12.61,-14.7,0.73,6.2,-3.87,-16.47,15.39,-19.29,6.1,-4.98,12
-0.64,-15.61,-14.81,-3.47,-8.11,10.25,-4.86,-14.06,14.05,-10.55,-1.07,8.35,12
-0.73,-14.83,-12.89,-4.0,0.73,1.66,-4.57,-14.72,14.78,-2.93,-7.23,-0.34,12
0.33,-16.21,-13.6,3.66,3.37,-1.37,-4.41,-16.52,15.05,-3.08,-0.44,-2.93,12
0.43,-15.68,-13.55,6.74,4.25,4.15,-4.26,-16.78,14.28,2.05,0.34,0.93,12
-1.13,-14.2,-13.13,17.38,3.96,2.73,-4.35,-14.84,14.91,11.67,-2.69,1.22,12
1.34,-17.78,-12.72,20.9,18.31,1.71,-4.76,-13.05,16.33,37.79,4.64,-0.49,12
1.1,-17.43,-11.52,25.44,20.46,0.68,-4.7,-14.2,17.14,37.89,7.62,-2.93,12
1.67,-17.42,-10.5,41.11,26.37,-0.83,-4.42,-15.18,18.34,33.59,8.64,1.95,12
3.89,-20.9,-7.72,87.99,49.85,-6.2,-6.9,-4.17,18.41,81.88,13.33,15.38,12
4.46,-17.91,-1.13,60.01,35.94,-14.4,-6.59,-1.16,20.06,40.72,-6.15,-0.49,12
7.58,-25.11,-0.74,37.6,24.41,-12.74,-6.39,-0.01,19.45,110.64,1.56,13.53,12
5.16,-20.99,4.18,84.91,38.92,-7.71,-6.77,7.66,18.85,101.56,0.68,14.5,12
6.14,-20.73,8.78,65.04,39.5,-9.33,-6.56,11.6,17.88,100.63,1.37,10.11,12
5.07,-18.32,13.11,50.44,15.19,-9.91,-6.31,13.77,15.77,92.28,3.27,8.35,12
1.91,-12.87,12.24,-142.19,-66.99,25.83,-7.18,-1.42,16.49,-143.02,-15.33,0.83,13
6.0,-21.63,3.88,-158.15,-93.16,44.29,-5.93,-9.6,16.77,-99.41,-17.14,-5.71,13
2.7,-18.54,-2.14,-120.02,-77.88,40.04,-4.92,-8.53,17.81,-32.32,-14.11,-2.15,13
1.57,-18.96,-7.43,-90.63,-51.17,19.92,-4.49,-13.11,17.43,-38.77,-7.42,6.05,13
-0.95,-15.61,-11.71,-33.11,-8.79,3.22,-5.04,-12.99,14.11,-17.87,-0.39,5.81,13
